updated,date through,zipcode,confirmed_cases
2020-04-06,2020-04-05,92027,7
2020-04-06,2020-04-05,92028,6
2020-04-06,2020-04-05,92029,10
2020-04-06,2020-04-05,92037,32
2020-04-06,2020-04-05,92039,1
2020-04-06,2020-04-05,92040,12
2020-04-06,2020-04-05,92054,8
2020-04-06,2020-04-05,92056,11
2020-04-06,2020-04-05,92057,8
2020-04-06,2020-04-05,92058,6
2020-04-06,2020-04-05,92061,2
2020-04-06,2020-04-05,92064,14
2020-04-06,2020-04-05,92065,8
2020-04-06,2020-04-05,92066,2
2020-04-06,2020-04-05,92067,12
2020-04-06,2020-04-05,92069,9
2020-04-06,2020-04-05,92071,15
2020-04-06,2020-04-05,92075,4
2020-04-06,2020-04-05,92078,12
2020-04-06,2020-04-05,92081,10
2020-04-06,2020-04-05,92082,3
2020-04-06,2020-04-05,92083,6
2020-04-06,2020-04-05,92084,10
2020-04-06,2020-04-05,92085,1
2020-04-06,2020-04-05,92091,2
2020-04-06,2020-04-05,92093,4
2020-04-06,2020-04-05,92101,34
2020-04-06,2020-04-05,92102,17
2020-04-06,2020-04-05,92103,66
2020-04-06,2020-04-05,92104,33
2020-04-06,2020-04-05,92105,31
2020-04-06,2020-04-05,92106,9
2020-04-06,2020-04-05,92107,3
2020-04-06,2020-04-05,92108,15
2020-04-06,2020-04-05,92109,25
2020-04-06,2020-04-05,92110,15
2020-04-06,2020-04-05,92111,18
2020-04-06,2020-04-05,92113,35
2020-04-06,2020-04-05,92114,27
2020-04-06,2020-04-05,92115,25
2020-04-06,2020-04-05,92116,34
2020-04-06,2020-04-05,92117,19
2020-04-06,2020-04-05,92118,4
2020-04-06,2020-04-05,92119,8
2020-04-06,2020-04-05,92120,20
2020-04-06,2020-04-05,92121,3
2020-04-06,2020-04-05,92122,14
2020-04-06,2020-04-05,92123,17
2020-04-06,2020-04-05,92124,14
2020-04-06,2020-04-05,92126,26
2020-04-06,2020-04-05,92127,20
2020-04-06,2020-04-05,92128,26
2020-04-06,2020-04-05,92129,18
2020-04-06,2020-04-05,92130,22
2020-04-06,2020-04-05,92131,6
2020-04-06,2020-04-05,92136,2
2020-04-06,2020-04-05,92139,20
2020-04-06,2020-04-05,92145,1
2020-04-06,2020-04-05,92154,32
2020-04-06,2020-04-05,92161,2
2020-04-06,2020-04-05,92168,1
2020-04-06,2020-04-05,92173,17
2020-04-06,2020-04-05,92196,1
2020-04-06,2020-04-05,Unknown*,76
2020-04-06,2020-04-05,TOTAL,1404
2020-04-08,2020-04-06,91901,1
2020-04-08,2020-04-06,91902,14
2020-04-08,2020-04-06,91909,1
2020-04-08,2020-04-06,91910,34
2020-04-08,2020-04-06,91911,35
2020-04-08,2020-04-06,91913,26
2020-04-08,2020-04-06,91914,6
2020-04-08,2020-04-06,91915,14
2020-04-08,2020-04-06,91916,1
2020-04-08,2020-04-06,91932,7
2020-04-08,2020-04-06,91935,3
2020-04-08,2020-04-06,91941,8
2020-04-08,2020-04-06,91942,19
2020-04-08,2020-04-06,91945,14
2020-04-08,2020-04-06,91950,25
2020-04-08,2020-04-06,91977,30
2020-04-08,2020-04-06,91978,4
2020-04-08,2020-04-06,92004,1
2020-04-08,2020-04-06,92007,4
2020-04-08,2020-04-06,92008,8
2020-04-08,2020-04-06,92009,17
2020-04-08,2020-04-06,92010,9
2020-04-08,2020-04-06,92011,8
2020-04-08,2020-04-06,92014,13
2020-04-08,2020-04-06,92019,32
2020-04-08,2020-04-06,92020,47
2020-04-08,2020-04-06,92021,42
2020-04-08,2020-04-06,92024,26
2020-04-08,2020-04-06,92025,13
2020-04-08,2020-04-06,92026,9
2020-04-08,2020-04-06,92027,9
2020-04-08,2020-04-06,92028,6
2020-04-08,2020-04-06,92029,11
2020-04-08,2020-04-06,92037,32
2020-04-08,2020-04-06,92039,1
2020-04-08,2020-04-06,92040,14
2020-04-08,2020-04-06,92054,8
2020-04-08,2020-04-06,92056,11
2020-04-08,2020-04-06,92057,8
2020-04-08,2020-04-06,92058,6
2020-04-08,2020-04-06,92061,2
2020-04-08,2020-04-06,92064,15
